id,listing_url,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,pastBooking,Average Weekly Earning,
9077959,https://www.airbnb.com/rooms/9077959,2.02E+13,4/2/17,8190912,Nob Hill,Nob Hill,San Francisco,CA,94109,San Francisco,US,United States,37.79534544,-122.4177732,Apartment,Entire home/apt,4,1,2,2,Real Bed,,200.00,1017.00,3700.00,100.00,,2,20.00,2,1125,6 months ago,0,0,0,0,4/2/17,365,48.46153846,
6132191,https://www.airbnb.com/rooms/6132191,2.02E+13,4/2/17,13499994,Nob Hill,Nob Hill,San Francisco,CA,94133,San Francisco,US,United States,37.7963249,-122.4119068,Apartment,Entire home/apt,6,3,3,3,Real Bed,,499.00,,,500.00,185.00,1,0.00,1,1125,yesterday,6,19,19,20,4/2/17,345,1403.846154,
17497947,https://www.airbnb.com/rooms/17497947,2.02E+13,4/2/17,69526361,,Nob Hill,San Francisco,CA,94109,San Francisco,US,United States,37.79001229,-122.4135703,Apartment,Private room,2,1,1,1,Real Bed,,85.00,,,,,1,0.00,1,1125,3 weeks ago,0,0,0,21,4/2/17,344,3310.673077,
7226513,https://www.airbnb.com/rooms/7226513,2.02E+13,4/2/17,37833018,Nob Hill,Nob Hill,San Francisco,CA,94108,San Francisco,US,United States,37.79136288,-122.4129075,Apartment,Entire home/apt,2,1,1,1,Real Bed,,150.00,,,,,1,0.00,2,1125,4 days ago,5,5,5,5,4/2/17,360,562.3076923,
13095952,https://www.airbnb.com/rooms/13095952,2.02E+13,4/2/17,72722573,Nob Hill,Nob Hill,San Francisco,CA,94108,San Francisco,US,United States,37.79601577,-122.4100284,Apartment,Entire home/apt,4,1,1,2,Real Bed,,219.00,,,500.00,100.00,2,30.00,2,1125,a week ago,0,12,34,123,4/2/17,242,1038.461538,
8274354,https://www.airbnb.com/rooms/8274354,2.02E+13,4/2/17,10334206,Nob Hill,Nob Hill,San Francisco,CA,94109,San Francisco,US,United States,37.79291344,-122.4172641,Apartment,Private room,1,1,1,1,Real Bed,,289.00,,,,25.00,1,0.00,2,5,5 months ago,0,0,0,0,4/2/17,365,1019.192308,
15499467,https://www.airbnb.com/rooms/15499467,2.02E+13,4/2/17,22065260,Nob Hill,Nob Hill,San Francisco,CA,94109,San Francisco,US,United States,37.79378106,-122.418881,House,Private room,4,1,1,2,Real Bed,,260.00,,,,60.00,1,0.00,2,28,4 days ago,0,25,55,301,4/2/17,64,2028.557692,
10863432,https://www.airbnb.com/rooms/10863432,2.02E+13,4/2/17,8679488,Nob Hill,Nob Hill,San Francisco,CA,94109,San Francisco,US,United States,37.79572528,-122.4180237,Apartment,Entire home/apt,2,1,1,1,Real Bed,,115.00,,,,,1,0.00,7,1125,2 days ago,0,15,45,306,4/2/17,59,320,
7930685,https://www.airbnb.com/rooms/7930685,2.02E+13,4/2/17,1518689,Nob Hill,Nob Hill,San Francisco,CA,94133,San Francisco,US,United States,37.79466475,-122.4115166,House,Entire home/apt,4,1,2,2,Real Bed,,250.00,,,,125.00,1,0.00,2,7,2 weeks ago,7,7,7,7,4/2/17,358,130.4807692,
4440859,https://www.airbnb.com/rooms/4440859,2.02E+13,4/2/17,3773929,Nob Hill,Nob Hill,San Francisco,CA,94109,San Francisco,US,United States,37.79670361,-122.4139422,Apartment,Entire home/apt,2,1,1,1,Real Bed,,175.00,1000.00,10000.00,,50.00,1,0.00,2,28,yesterday,0,0,0,86,4/2/17,279,1721.153846,
